name,units,count(units),group_concat(comment),column_name
BSi_mass_flux_uncertainty,mg m-2 d-1,56,"uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux,uncertainty for particulate biogenic silicon mass flux",psi_sd
Ba,%,30,"concentration of barium,barium",ba
Ba e,±,3,"Reproducibility: very good,Reproducibility: very good,Reproducibility: very good",ba_sd
Ba flux,µg/m**2/day,13,,ba
Ba part std dev,±,5,,ba_sd
Ba std dev,±,32,"2Sigma Error,2Sigma Error,in %,n = 6,in %",ba_sd
Ba unc,±,4,measured in sediment (grain size <63 µm),ba_sd
Ba xs flux,µmol/m**2/a,1,,NA
Ba xs flux std dev,±,1,,NA
Ba_QC,unitless,1,quality control flag,ba_qc
Bathy depth,m,12,ETOPO1 bathymetry,bathymetry_depth_ETOPO1
Biog,%,2,"Mollusk/echinoid,Plant fragments/Organic matter",NA
Biog flux,g/m**2/a,1,2 x POC + CaCO3 + Opal (Opal = 2.1x bPSi),NA
Biog flux,mg/m**2/day,4,2 x POC + CaCO3 + Opal (Opal = 2.1x bPSi),NA
Biogenic,%,1,"of total components, # = 18-20",NA
Biogenic_SiO2,%,1,biogenic SiO2,psio2
Biogenic_SiO2_flux,mg/m2/d,1,biogenic SiO2 flux,psio2
C,%,14,"determined from material collected with sediment traps, irregularly in 2017, in 4-week intervals in 2018,Detection limit: 0.05",carbon_total
C (carb),%,13,"wt. %,of total biogenic material",carbon_total
C flux,g/m**2/a,1,of dominant species,carbon_total
C flux,mg/m**2/day,77,"Carbon flux, as measured by the contents of the sediment trap over the length of time indicated",carbon_total
C flux std dev,±,10,"Standard deviation for replicates = 3, Difference for replicates = 2",carbon_total_sd
C inorg flux,mg/m**2/day,9,,pic
C inorg flux,mmol/m**2/day,35,"particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm",pic
C inorg flux std dev,±,6,,pic_sd
C org,%,2,,poc
C org mar,%,107,"GF/F filtered,centrifuged,centrifuged,centrifuged,centrifuged,GF/F filtered,centrifuged,Element analysis CHN/Acidification - 0.4-0.45 µm pore filtered,centrifuged,GF/F filtered,centrifuged",poc
C_org,mg C m-2 d-1,1,Particulate organic carbon flux,poc
Ca,%,187,"particulate,particulate,particulate,particulate,particulate,particulate,particulate,particulate,particulate,particulate,fraction < 2mm, detection limit 1 %,uncertainty = 3 %,from Chavagnac et al. (2005), corrected by a 5 % error on content determination (error by ICP-AES analysis),detection limit = 0.5 %,detection limit 20 ppm,uncorrected,mass %,fraction < 2mm, detection limit 3 ppm,fraction < 2mm, detection limit 0.5 ppm,fraction < 2mm, detection limit 5 ppm,fraction < 2mm, detection limit 3 ppm,fraction < 2mm, detection limit 50 ppm,fraction < 2mm, detection limit 1 %,concentration of calcium,Calcium",ca
Ca e,±,4,"Reproducibility: very good,Reproducibility: very good,Reproducibility: very good",ca_sd
Ca flux,mg/m**2/day,16,,ca
Ca flux,µg/m**2/a,1,,NA
Ca std dev,±,19,"1 sigma uncertainty,1 sigma uncertainty,2Sigma Error,2Sigma Error",ca_sd
Ca unc,±,4,measured in sediment (grain size <63 µm),ca_sd
CaCO3,%,262,"of total flux,of total flux,of total flux,of total flux,of total flux,of total flux,CaCO3 = TIC * 8.33,CaCO3 = TIC * 8.33,CaCO3 = TIC * 8.33,CaCO3 = TIC * 8.33,CaCO3 = TIC * 8.33,Carmhograph 6,CaCO3 = TIC * 8.33,CaCO3 = TIC * 8.33,Carmhograph 6,of total flux,Carmhograph 6,Carmhograph 6,Carmhograph 6,Carmhograph 6,Carmhograph 6,Carmhograph 6,Carmhograph 6,wt. %,of total flux,percentage of total flux,percentage of total flux,of total biogenic material,based on loss on leaching with 1M HCl,based on the assumption that all Ca is present as CaCO3,CaCO3 [%] = 2.5 * Ca [%],based on an estimated stoichiometric amount of CO2 assuming that all the measure,computed from calcium (ca),computed from carbonate carbon (cc),based on reflectance measurements on Hole 1119C (Millwood et al., 2002, doi:10.2973/odp.proc.sr.181.208.2002),calculated from total Ca concentration,determined at University of Rhode Island,calculated from total Ca concentration,determined at University of Rhode Islan,from Martinez et al. 2006,%carbonate is estimated from Ca and Al concentrations by correcting for detrital Ca assuming a detrital Ca/Al ratio of 0.26. This ratio was determined to give the best fit to the sparse shipboard %carbonate data for Site 1234,Salt-corrected,wt. %,calcium carbonate",caco3
CaCO3 flux,%,20,"wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%",caco3
CaCO3 flux,g/m**2/a,6,,caco3
CaCO3 flux,mg m-2 day-1,1,Ca-based CaCO3 flux (Ca (%) - Al (%) x 0.5) x 100 / 40,caco3
CaCO3 flux,mg/m**2/day,211,"original unit g/m**2/d**1,(Total C-org C)*8.33*flux total,(Total C-org C)*8.33*flux total,Average,CaCO3 flux =8.34*PIC flux,CaCO3 flux =8.34*PIC flux,CaCO3 flux =8.34*PIC flux,CaCO3 flux =8.34*PIC flux,CaCO3 flux =8.34*PIC flux,Excl. aragonite",caco3
CaCO3 flux,mmol/m**2/day,1,,caco3
CaCO3 flux std dev,±,2,,caco3_sd
CaCO3 frac,%,2,"size fraction less than 5 µm,size fraction less than 5 µm",caco3
CaCO3 std dev,±,2,Salt-corrected,caco3_sd
CaCO3-1,%,1,Inorganic Carbon based CaCO3 (inorg-C x 100) /12,caco3
CaCO3-2,%,1,Ca based CaCO3 (Ca (%) - 0.5 x Al (%)) x 100 / 40,caco3
CaCO3_flux,mg/m2/d,1,calcium carbonate flux,caco3
Ca_QC,unitless,1,quality control flag,ca_qc
Cal flux,mg/m**2/day,7,Mass flux,ca
Cal flux std dev,±,6,,ca_sd
Cal std dev,±,8,,ca_sd
Calc depth,m,3,"range minimum,range maximum",NA
Carb,%,98,"bulk sediment,bulk sediment,size fraction less than 63 µm,bulk sediment,bulk sediment,bulk sediment,bulk sediment,bulk sediment,bulk sediment,size fraction less than 63 µm,bulk sediment,bulk sediment,bulk sediment,bulk sediment",carbon_total
Carb part std dev,±,2,,carbon_total_sd
CarbFlux,mg/m2/day,1,"total carbonate flux, in mg per m2 per day.",caco3
CarbonFlux,mg/m**2/d,1,particulate carbon flux,carbon_total
Carbon_flux,mg/m2/d,1,Carbon (mg/m2/d),carbon_total
Carbon_flux_SD,mg/m2/d,1,Standard Deviation presented where n=3. Difference between replicate presented where n=2,carbon_total_sd
Ccarb,%,2,carbonate (i.e. inorganic) carbon,pic
Ccarb flux,%,14,"wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%",pic
Ccarb_flux,mg/m2/d,1,inorganic carbon flux,pic
Chl,%,22,"Relative area percentage,Relative area percentage,Relative area percentage,Relative area percentage,Relative area percentage,Relative area percentage,Relative area percentage,Relative area percentage,Relative area percentage,Relative area percentage",chl
Chl,mg Chl a m-2 d-1,1,Chlorophyll Flux (Chl a),chl
Chl a,%,2,,chl
Chl a flux,mg/m**2/day,47,"corresponds to ICE event; measured from filtered water samples from sediment trap cylinders with about 24-hour deployment, then calculated,>10µm; corresponds to ICE event; measured from filtered water samples from sediment trap cylinders with about 24-hour deployment, then calculated",chl
Chl a flux,pmol/m**2/day,4,,chl
Chl a flux,µg/m**2/day,1,sum,chl
Chl a flux std dev,±,10,,chl_sd
Chl a std dev,±,2,,chl_sd
Chl a+DV Chl a flux,µg/m**2/day,6,,chl
Chl a+phide flux,µg/m**2/day,2,,chl
Chl flux,mg/m**2/day,24,"Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a,Chlorophyll a and chlorophyllide a",chl
Chl flux,µg/m**2/day,9,Chl a,chl
Chl_flux,mg/m2/day,1,chlorophyll flux (fluorometer detects chlorophyll-a and chlorophyllide-a),chl
Chloro pig std dev,±,21,,chl_sd
Chloropigm flux,µg/m**2/day,1,,chl
Comments,unitless,1,notes/comments,comments
Corg,%,1,organic carbon,poc
CorgFlux,mg/m2/day,1,"total organic carbon flux, in mg per m2 per day.",poc
Corg_Flux,mg/m2/d,1,organic carbon flux,poc
Corg_flux_Th,mmol m-2 d-1,1,"Organic carbon flux, using the thorium-based approach",poc
Corg_flux_Th_sd,mmol m-2 d-1,1,"Standard deviation of organic carbon flux, using the thorium-based approach. Uncertainty in Th-based approach calculated by propagating uncertainty in upwelling velocity and Th deficiency.",poc_sd
Corg_flux_sed,mmol m-2 d-1,1,Sediment trap-based organic carbon flux,poc
Corg_flux_sed_sd,mmol m-2 d-1,1,Standard deviation of sediment trap-based organic carbon flux. Uncertainty is reported as 50% for all sediment trap deployments.,poc_sd
DSi + PSi flux,mg/m**2/day,15,"biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic,biogenic",psi
DSiO2 flux,mg/m**2/day,6,,psio2
Date/Time,,13739,,timestamp
Date_Recovered,unitless,1,Recovery date and time in format %m/%d/%y %H:%M (e.g. 5/13/17 12:50). Local time zone variesÿbetween US/Eastern and US/Central over the course of this dataset.,time_recovered
Days,days,36,"number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ,number of days  ",duration
Days cum,day,16,,duration
Dec_Year_end,unitless,2,"Decimal Year      (recovery)            ,Decimal Year      (recovery)            ",time_recovered
Dec_Year_start,unitless,2,"Decimal Year      (deployment)            ,Decimal Year      (deployment)            ",timestamp
Deploy_DateTime_UTC,unitless,1,Time of sediment trap deployment in ISO8601 format,timestamp
Depth,Meters,3,"Depth,Depth,Depth",depth
Depth,m,39,"Depth,Depth of sample collection,Nominal depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth,sampling depth",depth
Depth bot,m,474,"trap depth lower,Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],Cycle bottom,sample,CSF-A (m)",depth
Depth corr,m,7,,depth
Depth top,m,473,"trap depth upper,Top Core depth (below sea floor) [m CSF-B],Cycle, top,sample,Sample surface,CSF-A (m)",depth
Depth w.e.,m,2,Trap depth,depth
Depth water,m,10612,"Deployment depth,trap depth,mean trap depth,mean trap depth,mean trap depth,mean trap depth,mean trap depth,mean trap depth,mean trap depth,mean trap depth,mean trap depth,mean trap depth,mean trap depth,mean trap depth,mean trap depth,mean trap depth,mean trap depth,trap depth,trap deployment depth,trap deployment depth,bsl,Sediment trap deployment depth,salt water,corresponds to CTD event; measurements from Nikolopoulos et al. (2016),bsl,water depth of the sediment trap,Deployment depth,Min,Max,SP and LP,ST,BU,# = moonpool,Present depth in metres below sea level,#0.0=bottom",depth
Depth water bot,m,2,,depth
Depth water exp,m,5,"top,bottom",depth
Depth water top,m,1,,depth
Detr flux,g/m**2/a,1,,detrital
Detr flux std dev,±,1,,detrital_sd
Detrital flux,mg/m**2/day,1,,detrital
Detritus,%,4,"of total components,detrital,detrital",detrital
Dry Weight Flux (mg/m2/day),mg/m2/day,1,Dry Weight Flux (mg/m2/day),mass_total
Dry Weight Flux (mg/m2/day) Flag,unitless,1,Dry Weight Flux (mg/m2/day) Flag,mass_total_qc
Duration,days,785,"deployment time,days sampled,days open,days sampled,days open,days open,days since 1. September 1995,days since 1. September 1995,days since 1. September 1995,days after start,exposure,Sampling d,Sampling d,Sampling d,pooled,sampling interval days,days after release,Days collecting",duration
Duration,h,2,,duration
Duration,hours,1,Duration of trap deployment,duration
Duration,number of days,1,measure of the passing of time of sample collection,duration
Duration,unitless,1,number of days the sample collected,duration
Duration_d,days,1,duration of sample collection,duration
End,YYYY-MM-DD,36,"ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date,ending date",time_recovered
EndDate,YYYY-MM-DD,1,end date of sample collection in GMT,time_recovered
Fe,%,332,"determined from material collected with sediment traps, irregularly in 2017, in 4-week intervals in 2018,particulate,particulate,particulate,particulate,particulate,particulate,particulate,particulate,particulate,particulate,fraction < 2mm, detection limit 0.01 %,uncertainty = 2 %,from Chavagnac et al. (2005),CFB,detection limit 10 ppm,AAS,INAA,leached,residue,mass %,fraction < 2mm, detection limit 10 ppm,fraction < 2mm, detection limit 0.5 ppm,fraction < 2mm, detection limit 10 ppm,fraction < 2mm, detection limit 10 ppm,fraction < 2mm, detection limit 200 ppm,fraction < 2mm, detection limit 100 ppm,concentration of iron,iron",fe
Fe e,±,4,"Reproducibility: very good,Reproducibility: very good,Reproducibility: very good",fe_sd
Fe flux,mg/m**2/day,19,,fe
Fe flux,µg/m**2/a,1,,NA
Fe flux,µmol/cm**2/a,5,,fe
Fe flux std dev,±,1,,fe_sd
Fe part std dev,±,2,,fe_sd
Fe std dev,±,13,,fe_sd
Fe tot,%,1,,fe
Fe unc,±,4,measured in sediment (grain size <63 µm),fe_sd
Fe_QC,unitless,1,quality control flag,fe_qc
Flag C flux,mg/m**2/day,6,,carbon_total_qc
Flux Ba,µg/cm**2/a,1,Ba in barite,NA
Flux std dev,±,10,"total,total,total,total,total,Standard deviation for replicates = 3, Difference for replicates = 2. Total,total,total",mass_total_sd
Flux tot,mg/m**2/day,145,"original unit g/m**2/d**1,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,> 1 mm,< 1 mm,< 1 mm,< 1 mm,< 1 mm,< 1 mm,< 1 mm,< 1 mm,> 1 mm,< 1 mm,< 1 mm,> 1 mm,< 1 mm,< 1 mm,< 1 mm,> 1 mm,< 1 mm,< 1 mm,< 1 mm,> 1mm,> 1mm,Korte et al. 2017,total, per cylinder,dry weight,Sedimentation rate",mass_total
Inorg-C,%,2,"concentration of inorganic carbon,Inorganic carbon",pic
Inorg-C_QC,unitless,1,quality control flag,pic_qc
LAT,degrees,1,latitude,latitude
LATITUDE,degrees_north,58,"latitude,Latitude of each location,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude",latitude
LON,degrees,1,longitude,longitude
LONGITUDE,degrees_east,58,"longitude,Longitude of each location,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude",longitude
Lat,decimal degrees,1,"Latitude (N+, S-)",latitude
Latitude,deg,14414,,latitude
Latitude,degrees,1,latitude,latitude
Latitude,degrees North,1,latitude,latitude
Latitude ,decimal degrees,1,Latitude ,latitude
LithFlux,mg/m2/day,1,"the estimated lithogenic flux, in mg per m2 per day.",lithogenic
Lithic,%,2,total (including polycrystalline quartz),NA
Litho,%,42,"of total flux,of total flux,of total flux,of total flux,of total flux,of total flux,of total flux,of total flux,percentage of total flux,percentage of total flux,lithogenic matter, of total lithogenic material,Lithogenic in bulk (FA = factor analysis results from bulk sediment composition),Lithogenic in bulk (TI),Extracted from bulk (by mass),Using the measured 232Th concentration assuming 10 ppm 232Th in the lithogenic fraction and a conversion factor of 0.24253 µg/dpm,Using the measured 232Th concentration assuming 10 ppm 232Th in the lithogenic fraction",lithogenic
Litho flux,%,21,"wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,Corg/N atom",lithogenic
Litho flux,g/m**2/a,39,,lithogenic
Litho flux,mg/m**2/day,108,"original unit g/m**2/d**1,Mineral flux-opal flux-CaCO3 flux,Mineral flux-opal flux-CaCO3 flux,Average",lithogenic
Litho flux std dev,±,2,,lithogenic_sd
Lithogenic flux,mg m-2 day-1,1,(Al (%) x 100) / 8,lithogenic
Lon,decimal degrees,1,"Longitude (E+, W-)",longitude
Longitude,deg,14414,,longitude
Longitude,degrees,1,longitude,longitude
Longitude,degrees East,1,longitude,longitude
Longitude ,decimal degrees,1,Longitude ,longitude
MF_Al,mg m**2 d*1,1,mass flux of aluminium (Al),pal
MF_Cinorg,mg m**2 d*1,1,mass flux inorganic carbon (Cinorg),pic
MF_Corg,mg m**2 d*1,1,mass flux organic carbon (Corg),poc
MF_Ls1mm,mg m**2 d*1,1,mass flux of the <1mm particle sample,mass_total
MF_N_,mg m**2 d*1,1,Mass flux of nitrogen (N),pon
MF_Sibio,mg m**2 d*1,1,mass flux biogenic Si (Sibio),psi
MLD,m,12,"ARGO (2000-2018) - Mixed Layer Depth in situ data from Argo Project (http://www.argo.net),NOBM - Mixed Layer Depth Modelled data from the NASA Ocean Biogeochemical Model (https://gmao. gsfc.nasa.gov/reanalysis/MERRA-NOBM/),ARGO (2000-2018) - Mixed Layer Depth in situ data from Argo Project (http://www.argo.net),NOBM - Mixed Layer Depth Modelled data from the NASA Ocean Biogeochemical Model (https://gmao. gsfc.nasa.gov/reanalysis/MERRA-NOBM/),ARGO (2000-2018) - Mixed Layer Depth in situ data from Argo Project (http://www.argo.net),NOBM - Mixed Layer Depth Modelled data from the NASA Ocean Biogeochemical Model (https://gmao. gsfc.nasa.gov/reanalysis/MERRA-NOBM/),ARGO (2000-2018) - Mixed Layer Depth in situ data from Argo Project (http://www.argo.net).,NOBM - Mixed Layer Depth Modelled data from the NASA Ocean Biogeochemical Model (https://gmao. gsfc.nasa.gov/reanalysis/MERRA-NOBM/),at which sigma-theta is ≥ than the surface density by 0.125 kg/m3 (Levitus, 1982),at which sigma-theta is > than the surface density by 0.2*a (where a is the thermal expansion coefficient) (Sprintall & Tomczak, 1992),at which buoyancy frequency (N2) > than the standard deviation of N2 (Mojica and Gaube, in review)",mixed_layer_depth
Mass Flux,mg m-2 day-1,1,Total mass flux,mass_total
Mass flux,g/m**2/a,2,"including salt,no salt",mass_total
